item_id,split,gold
VB-1519,VB,0
VB-1213,VB,0
VB-611,VB,0
VB-1251,VB,0
VB-510,VB,1
VB-394,VB,1
VB-1042,VB,1
VB-896,VB,1
VB-1523,VB,0
VB-1139,VB,0
VB-991,VB,0
VB-1649,VB,0
VB-1450,VB,1
VB-238,VB,1
VB-114,VB,1
VB-1620,VB,1
VB-347,VB,0
VB-1149,VB,0
VB-537,VB,0
VB-889,VB,0
VB-1424,VB,1
VB-1762,VB,1
VB-546,VB,1
VB-1812,VB,1
VB-1375,VB,0
VB-1579,VB,0
VB-11,VB,0
VB-1587,VB,0
VB-278,VB,1
VB-1692,VB,1
VB-74,VB,1
VB-1856,VB,1
VB-1411,VB,0
VB-1459,VB,0
VB-947,VB,0
VB-703,VB,0
VB-1370,VB,1
VB-1674,VB,1
VB-1006,VB,1
VB-786,VB,1
VB-1423,VB,0
VB-1551,VB,0
VB-51,VB,0
VB-747,VB,0
VB-1702,VB,1
VB-1146,VB,1
VB-1052,VB,1
VB-858,VB,1
VB-1379,VB,0
VB-1925,VB,0
VB-953,VB,0
VB-1803,VB,0
VB-1396,VB,1
VB-1562,VB,1
VB-1026,VB,1
VB-876,VB,1
VB-1445,VB,0
VB-1729,VB,0
VB-7,VB,0
VB-855,VB,0
VB-1414,VB,1
VB-1160,VB,1
VB-986,VB,1
VB-824,VB,1
VB-415,VB,0
VB-1231,VB,0
VB-139,VB,0
VB-769,VB,0
VB-476,VB,1
VB-1478,VB,1
VB-942,VB,1
VB-1594,VB,1
VB-1505,VB,0
VB-1101,VB,0
VB-155,VB,0
VB-1645,VB,0
VB-1514,VB,1
VB-1950,VB,1
VB-1068,VB,1
VB-1898,VB,1
VB-1367,VB,0
VB-243,VB,0
VB-93,VB,0
VB-725,VB,0
VB-294,VB,1
VB-1086,VB,1
VB-626,VB,1
VB-720,VB,1
VB-315,VB,0
VB-1089,VB,0
VB-83,VB,0
VB-1651,VB,0
VB-1404,VB,1
VB-1476,VB,1
VB-680,VB,1
VB-756,VB,1
VB-289,VB,0
VB-1731,VB,0
VB-597,VB,0
VB-1831,VB,0
VB-1342,VB,1
VB-230,VB,1
VB-1016,VB,1
VB-1900,VB,1
VB-1521,VB,0
VB-1203,VB,0
VB-535,VB,0
VB-849,VB,0
VB-298,VB,1
VB-1980,VB,1
VB-118,VB,1
VB-802,VB,1
VB-405,VB,0
VB-1473,VB,0
VB-137,VB,0
VB-1611,VB,0
VB-1498,VB,1
VB-180,VB,1
VB-120,VB,1
VB-1800,VB,1
VB-485,VB,0
VB-1109,VB,0
VB-13,VB,0
VB-1987,VB,0
VB-1294,VB,1
VB-1176,VB,1
VB-8,VB,1
VB-686,VB,1
VB-1443,VB,0
VB-1239,VB,0
VB-1029,VB,0
VB-1609,VB,0
VB-316,VB,1
VB-1206,VB,1
VB-958,VB,1
VB-1642,VB,1
VB-1315,VB,0
VB-379,VB,0
VB-997,VB,0
VB-1257,VB,0
VB-492,VB,1
VB-396,VB,1
VB-936,VB,1
VB-1852,VB,1
VB-1285,VB,0
VB-1867,VB,0
VB-575,VB,0
VB-1851,VB,0
VB-1364,VB,1
VB-1112,VB,1
VBH-418,VBH,0
VBH-48,VBH,0
VBH-228,VBH,0
VBH-715,VBH,1
VBH-843,VBH,1
VBH-112,VBH,0
VBH-833,VBH,0
VBH-630,VBH,1
VBH-77,VBH,0
VBH-465,VBH,1
VBH-896,VBH,0
VBH-324,VBH,0
VBH-591,VBH,0
VBH-599,VBH,0
VBH-1,VBH,0
VBH-846,VBH,0
VBH-975,VBH,0
VBH-961,VBH,0
VBH-471,VBH,0
VBH-732,VBH,0
VBH-791,VBH,1
VBH-540,VBH,0
VBH-820,VBH,0
VBH-353,VBH,1
VBH-144,VBH,0
VBH-870,VBH,0
VBH-913,VBH,0
VBH-388,VBH,0
VBH-166,VBH,0
VBH-229,VBH,0
VBH-546,VBH,1
VBH-383,VBH,0
VBH-299,VBH,1
VBH-39,VBH,0
VBH-555,VBH,0
VBH-943,VBH,0
VBH-447,VBH,0
VBH-95,VBH,0
VBH-368,VBH,0
VBH-222,VBH,0
VBH-286,VBH,1
VBH-874,VBH,1
VBH-552,VBH,0
VBH-104,VBH,0
VBH-571,VBH,0
VBH-486,VBH,1
VBH-739,VBH,1
VBH-890,VBH,0
VBH-632,VBH,0
VBH-252,VBH,0
VBH-901,VBH,1
VBH-515,VBH,1
VBH-422,VBH,1
VBH-79,VBH,0
VBH-545,VBH,0
VBH-441,VBH,0
VBH-484,VBH,0
VBH-190,VBH,0
VBH-964,VBH,0
VBH-696,VBH,1
VBH-205,VBH,0
VBH-717,VBH,1
VBH-851,VBH,0
VBH-40,VBH,0
VBH-775,VBH,1
VBH-627,VBH,0
VBH-663,VBH,0
VBH-396,VBH,0
VBH-924,VBH,1
VBH-319,VBH,0
VBH-616,VBH,0
VBH-628,VBH,0
VBH-107,VBH,0
VBH-185,VBH,0
VBH-197,VBH,0
VBH-682,VBH,0
VBH-758,VBH,1
VBH-63,VBH,0
VBH-560,VBH,0
VBH-688,VBH,0
VBH-322,VBH,0
VBH-626,VBH,0
VBH-910,VBH,0
VBH-263,VBH,0
VBH-332,VBH,1
VBH-0,VBH,0
VBH-804,VBH,0
VBH-835,VBH,1
VBH-231,VBH,0
VBH-590,VBH,0
VBH-528,VBH,0
VBH-883,VBH,0
VBH-402,VBH,1
VBH-624,VBH,0
VBH-889,VBH,0
VBH-731,VBH,0
VBH-544,VBH,0
VBH-164,VBH,0
VBH-580,VBH,1
VBH-915,VBH,0
